# Title: Modeling the JWST MIRI Counts, Insights Into the Source Properties and Role of Dust-Obscured AGN
# Authors: Edgar P. Vidal, Anna Sajina, Amber R. Banks, Matthieu Bethermin,
#          Carl Ferkinhoff, Andreea Petric, Alexandra Pope, Jianwei Lyu,
#          Vivian U, L. Y. Aaron Yung, Pallavi Patil
# Table: AGN + Composite Total Integral Number Counts Figure 11
# ==============================================================================
# Byte-by-byte Description of file: Vidal_2025_total_AGN_counts.txt
# ------------------------------------------------------------------------------
#   Bytes Format Units   Label         Explanations
# ------------------------------------------------------------------------------
#   1- 21  F20.6    uJy     flux_uJy      Flux density bin center
#  23- 31  F8.6     1 / deg2 N_F560W       N(>S) for F560W
#  33- 51  F18.6    1 / deg2 e_F560W       Uncertainty on N_F560W
#  53- 61  F8.6     1 / deg2 N_F770W       N(>S) for F770W
#  63- 81  F18.6    1 / deg2 e_F770W       Uncertainty on N_F770W
#  83- 91  F8.6     1 / deg2 N_F1000W      N(>S) for F1000W
#  93-111  F18.6    1 / deg2 e_F1000W      Uncertainty on N_F1000W
# 113-121  F8.6     1 / deg2 N_F1280W      N(>S) for F1280W
# 123-141  F18.6    1 / deg2 e_F1280W      Uncertainty on N_F1280W
# 143-151  F8.6     1 / deg2 N_F1500W      N(>S) for F1500W
# 153-171  F18.6    1 / deg2 e_F1500W      Uncertainty on N_F1500W
# 173-181  F8.6     1 / deg2 N_F1800W      N(>S) for F1800W
# 183-201  F18.6    1 / deg2 e_F1800W      Uncertainty on N_F1800W
# 203-211  F8.6     1 / deg2 N_F2100W      N(>S) for F2100W
# 213-231  F18.6    1 / deg2 e_F2100W      Uncertainty on N_F2100W
# 233-241  F8.6     1 / deg2 N_F2550W      N(>S) for F2550W
# 243-261  F18.6    1 / deg2 e_F2550W      Uncertainty on N_F2550W
# ------------------------------------------------------------------------------
# Note: Effective area of sim = 2 deg^2, bin width (log) = 0.05
#       N(>S) = integral number counts (sources per deg^2 above flux S)
# ------------------------------------------------------------------------------
flux_uJy N_F560W e_F560W N_F770W e_F770W N_F1000W e_F1000W N_F1280W e_F1280W N_F1500W e_F1500W N_F1800W e_F1800W N_F2100W e_F2100W N_F2550W e_F2550W
0.010610092271509818 135941.0 2093.8075226701176 141551.5 2163.4526513446563 144212.5 2225.3936125870873 147784.0 2307.378679267464 150692.5 2372.2018519314643 154476.5 2449.577954707367 157927.5 2503.4695723870677 164311.0 2603.6553707628395
0.011904719330480654 132655.0 2053.273586271095 138316.5 2123.234496240276 141210.5 2186.650871331466 144988.0 2269.9888410757844 148133.5 2336.4317526864243 152284.5 2416.4720639928732 156118.0 2473.390509901678 162460.5 2573.2374484143293
0.013357314782084607 129245.5 2011.9849679846957 134932.5 2082.1005686378694 137955.5 2146.3085858235777 141958.0 2231.0658401637274 145400.0 2299.4621705951968 149949.5 2382.3033648663336 154231.0 2442.6740647948627 161080.5 2546.9695973412017
0.014987153685419337 125723.5 1970.020697467981 131378.5 2039.9460908211536 134534.5 2104.9503943737573 138846.5 2191.6228433201813 142443.5 2261.014153741268 147390.0 2346.529771253167 152143.0 2410.3630759520556 159693.0 2520.63046295907
0.016815863012500182 122079.5 1927.3358055271551 127776.5 1997.5079004733077 131101.5 2063.519729402024 135558.5 2151.076573454755 139316.5 2221.4730359017326 144692.0 2309.801035908753 149913.0 2376.9714602379277 158217.5 2493.468909247988
0.018867708625039014 118362.0 1884.2225824975555 124134.0 1954.8317947465664 127424.0 2020.6390810860296 132097.5 2109.477294614852 136063.5 2181.1431462415812 141881.5 2272.3143716133 147413.5 2341.6196568893006 156574.5 2464.807087952055
0.0211699172676861 114536.0 1840.4847270402975 120355.5 1911.3662911833958 123645.0 1977.1707017741667 128465.5 2066.862743109527 132678.5 2140.003141380133 138941.5 2233.9737925879385 144763.5 2305.219107442898 154858.5 2435.5154509203016
0.023753037850389597 110619.0 1796.2297838135798 116459.0 1867.2273061474891 119752.5 1933.0543782646084 124716.5 2023.5672468079483 129273.5 2098.7417793085774 135819.0 2194.461136387678 141977.5 2267.896192229855 152954.0 2404.6569026718826
0.026651346813870165 106607.5 1751.444183449177 112463.0 1822.5283128702351 115789.5 1888.5403355364986 120858.5 1979.6468642959528 125726.5 2056.628835930086 132658.0 2154.7056336239093 139075.5 2229.804198320373 150846.0 2372.191536510387
0.029903302957164164 102491.0 1706.0762432270333 108325.0 1777.0420512080584 111711.5 1843.385047916996 116955.0 1935.4682495598613 122121.0 2014.1700323671027 129310.0 2113.7910885329516 136108.0 2191.2847227268503 148591.0 2338.6132697296252
0.03355205776252067 98363.5 1660.6477279530338 104194.5 1731.5970294785004 107527.0 1797.6439285603383 112976.0 1890.8644380635328 118330.5 1970.6355632650223 125866.0 2072.294100690459 132986.5 2151.778394119904 146122.0 2303.4778175481033
0.03764602798935364 94271.0 1615.4122330402997 99961.0 1685.5888780268283 103336.5 1751.870027699695 108998.5 1846.269034712963 114458.0 1926.6327224476386 122289.0 2030.003439782878 129695.0 2111.210549710816 143509.5 2267.335736811101
0.04223953813522302 90174.5 1570.1546369927853 95564.0 1638.7007132088277 99146.5 1706.0988577343117 104988.5 1801.4918083584869 110579.0 1882.592967679929 118712.0 1987.712778875297 126385.5 2070.531931248533 140761.5 2230.2682308253998
0.047393541288911774 86167.5 1525.394163358115 91336.5 1592.7251762353458 95030.5 1660.7336728454566 101006.5 1756.8711853238406 106730.5 1838.7266936188691 114994.5 1944.5995558456975 122948.5 2029.0771365921846 137862.5 2192.195931183797
0.05317642794088108 82093.5 1480.261026972528 87162.5 1547.0414811133442 90896.5 1615.2694011587794 97059.0 1712.4442790619817 102851.5 1794.6869388511595 111255.5 1901.3618408274406 119360.5 1986.7214994230899 134852.5 2153.401601701255
0.059664933483527124 78111.5 1435.6404039378817 83076.0 1501.8391581641858 86790.0 1569.956599435646 93129.0 1668.1159585433786 99001.5 1750.812116914199 107496.0 1858.0057570559559 115674.5 1943.7913235557585 131906.0 2115.0186627830326
0.06694515644321657 74192.5 1391.374163980099 79106.0 1457.2858193442949 82814.0 1525.36960581643 89096.5 1623.2132860171246 95070.5 1706.478157018877 103821.0 1815.1396865572503 112050.0 1901.2207938432919 128800.0 2075.6105417925564
0.07511370095542097 70407.0 1347.868417233261 75117.5 1412.6287930214417 78906.5 1481.168361490054 85214.0 1579.1536673170042 91247.5 1662.7574525414786 100120.5 1772.125154129244 108356.0 1858.2440559494032 125594.0 2035.5730593542214
0.08427895864290136 66669.0 1304.6364845908263 71265.5 1368.7425765064584 75087.5 1437.4705354571722 81347.5 1535.184928422194 87428.5 1619.059626508597 96352.0 1728.7172055483677 104636.0 1815.1163386437076 122329.5 1995.17194550819
0.0945625469066873 63068.5 1262.2071315436726 67554.0 1325.6641596367544 71272.5 1393.7955998533273 77554.5 1491.6361052463606 83658.5 1575.643039816412 92725.5 1686.1349322412743 100956.0 1772.2211174646532 118890.5 1953.7050912749594
0.10610092271509819 59622.5 1220.6980963826381 63930.0 1283.096566329169 67577.0 1350.8101371944238 73846.0 1448.5751020067703 79960.5 1532.643039816412 89097.5 1643.5438533631807 97378.0 1729.92454549954 115414.0 1912.0127658420934
0.11904719330480656 56291.0 1179.8844957083531 60362.0 1240.8591421652834 64002.5 1308.534257546568 70266.5 1406.2696650039452 76448.5 1490.738386136898 85434.0 1600.7449047779642 93795.0 1687.5984306294035 111779.5 1869.3835505080058
0.13357314782084612 53121.0 1140.0724372335644 56924.5 1199.401332285841 60558.5 1267.037269704075 66745.5 1364.3113523591308 72917.0 1448.7175579680006 81802.0 1558.1303532726392 90345.0 1646.0653113148132 108017.0 1826.0101715757621
0.14987153685419347 50056.0 1100.9252789714376 53647.5 1158.9229429898228 57199.5 1226.0555664695826 63382.0 1323.3022070376296 69427.0 1406.9443608195897 78291.0 1516.231665942366 86845.0 1604.2323099881094 104273.0 1782.7435562701942
