# Title: Modeling the JWST MIRI Counts, Insights Into the Source Properties and Role of Dust-Obscured AGN
# Authors: Edgar P. Vidal, Anna Sajina, Amber R. Banks, Matthieu Bethermin,
#          Carl Ferkinhoff, Andreea Petric, Alexandra Pope, Jianwei Lyu,
#          Vivian U, L. Y. Aaron Yung, Pallavi Patil
# Table: Total Galaxy Integral Number Counts Figure 6
# ==============================================================================
# Byte-by-byte Description of file: Vidal_2025_total_galaxy_counts.txt
# ------------------------------------------------------------------------------
#   Bytes Format Units   Label         Explanations
# ------------------------------------------------------------------------------
#   1- 21  F20.6    uJy     flux_uJy      Flux density bin center
#  23- 32  F9.6     1 / deg2 N_F560W       N(>S) for F560W
#  34- 52  F18.6    1 / deg2 e_F560W       Poisson Error on N_F560W
#  54- 63  F9.6     1 / deg2 N_F770W       N(>S) for F770W
#  65- 83  F18.6    1 / deg2 e_F770W       Poisson Error on N_F770W
#  85- 94  F9.6     1 / deg2 N_F1000W      N(>S) for F1000W
#  96-114  F18.6    1 / deg2 e_F1000W      Poisson Error on N_F1000W
# 116-125  F9.6     1 / deg2 N_F1280W      N(>S) for F1280W
# 127-145  F18.6    1 / deg2 e_F1280W      Poisson Error on N_F1280W
# 147-156  F9.6     1 / deg2 N_F1500W      N(>S) for F1500W
# 158-176  F18.6    1 / deg2 e_F1500W      Poisson Error on N_F1500W
# 178-187  F9.6     1 / deg2 N_F1800W      N(>S) for F1800W
# 189-207  F18.6    1 / deg2 e_F1800W      Poisson Error on N_F1800W
# 209-218  F9.6     1 / deg2 N_F2100W      N(>S) for F2100W
# 220-238  F18.6    1 / deg2 e_F2100W      Poisson Error on N_F2100W
# 240-249  F9.6     1 / deg2 N_F2550W      N(>S) for F2550W
# 251-269  F18.6    1 / deg2 e_F2550W      Poisson Error on N_F2550W
# ------------------------------------------------------------------------------
# Note: Effective area of sim = 2 deg^2, bin width (log) = 0.05
#       N(>S) = integral number counts (sources per deg^2 above flux S)
# ------------------------------------------------------------------------------
flux_uJy N_F560W e_F560W N_F770W e_F770W N_F1000W e_F1000W N_F1280W e_F1280W N_F1500W e_F1500W N_F1800W e_F1800W N_F2100W e_F2100W N_F2550W e_F2550W
0.05317642794088108 532074.5 3699.1394403642526 547641.0 3795.8736922569406 600517.0 4151.81008035853 738199.0 4696.933570447679 850150.0 5085.074649953834 966332.5 5458.9267217051365 1074689.0 5763.347557715401 1341950.0 6414.429842137462
0.059664933483527124 499615.0 3571.7434043191697 516208.5 3670.5092236065293 571825.0 4032.0352916924676 707937.0 4573.925440635052 817113.5 4956.551305770763 930029.5 5324.199218944936 1033836.0 5620.426250696469 1288003.0 6250.193731613619
0.06694515644321657 469078.5 3448.178643970598 486255.0 3548.129691004055 544339.5 3914.805815876869 678184.5 4451.957207065815 784133.0 4828.136937415816 894040.5 5190.055639150746 993279.0 5478.023652405567 1234412.5 6086.501184440573
0.07511370095542097 440249.5 3328.1182425053353 457834.5 3428.9229378396476 518172.0 3800.421594937091 649312.0 4331.806260336295 751572.0 4700.541874815416 858619.0 5056.973897352706 953184.0 5336.4344579025965 1181934.0 5924.515845597824
0.08427895864290136 413157.0 3211.7298839809537 430814.0 3312.689336845787 492854.0 3687.90937337872 620975.5 4212.775802049351 719534.5 4573.976674226945 823449.0 4924.365451166198 913725.5 5195.973609264978 1130334.0 5763.8920615557345
0.0945625469066873 387700.0 3098.909229843513 405281.0 3199.7003993341878 468484.5 3577.5248182996693 593327.5 4095.2002943957586 687915.0 4448.239845890932 788576.5 4792.319057803865 874822.5 5056.504974798299 1079901.5 5605.095808451324
0.10610092271509819 363655.5 2989.263208483867 381295.0 3090.1878429764806 445131.5 3469.4669634255324 566021.5 3978.354241830856 656854.0 4323.618419161818 754454.0 4661.700337859134 836447.0 4917.9851206256935 1030525.0 5447.970858172891
0.11904719330480656 341167.5 2883.2254793493744 358405.5 2983.2077046329546 422685.0 3363.5271220059794 539393.5 3862.9679341509586 626294.0 4200.006122038918 721028.0 4532.421569300643 798862.0 4780.899381031817 982360.5 5292.786290641194
0.13357314782084612 320092.5 2780.5731535111354 336937.0 2879.60147895129 401016.0 3259.4382176981717 513506.0 3749.197331621131 596368.0 4077.682780030943 688368.5 4404.633659074362 762059.5 4645.248173886433 935454.0 5139.641751071544
0.14987153685419347 300193.0 2680.8247199394746 316602.0 2778.7674569150745 380270.5 3157.591519175343 488221.5 3636.75957106001 567169.0 3956.854389327433 656264.5 4277.937171356667 726071.5 4511.106457779921 889913.0 4988.7427782453515
